Country,Short Term Political Risk,Long Term Political Risk,Short Term Economic Risk,Long Term Economic Risk,Operational Risk Index,Last CRI
Nicaragua,35.7,58.7,48.7,46.9,64.2,55.37
Saint Vincent And The Grenadines,26,44.9,68.1,61.3,57.3,52.37
Benin,38.3,39.9,52.1,60.3,62.1,52.16
United Arab Emirates,12.1,20.7,35.4,36.5,25.2,25.63
Gabon,39.7,37.9,47.3,52.2,66.8,51.81
Bulgaria,41.2,29.1,48.7,39.5,38.1,39.22
Saudi Arabia,26.2,38.1,18.7,30.1,34.3,29.82
United Kingdom,24.2,12.3,39.9,34.2,24,26.39
Oman,18.3,27.6,33.3,42.7,33.7,31.25
Bhutan,39.7,40,62.9,67.3,56.3,54.22
Jordan,34.5,31,56.9,54,41,43.02
Slovakia,35.9,18.8,41.7,30,38.4,34.32
Solomon Islands,44.6,43,54.8,52.6,69.6,55.78
Cambodia,35.6,40.5,53.5,54.4,57.3,50.1
Haiti,71.5,64.3,69.2,67,78.1,71.46
New Zealand,17.9,14.1,30.8,25.9,25.3,22.75
Netherlands,19.1,13.8,29.8,22.9,21.5,21.25
Lao People'S Democratic Republic,28.5,46.3,61.2,57.2,61,52.62
Kiribati,29.6,20.9,53.3,57.3,68.4,50.03
Australia,21.7,17.4,23.7,25.4,25.5,22.77
Maldives,38.7,39.7,52.7,59.2,58.8,51.52
Brazil,45.4,31.9,45.9,35.2,50.3,43.19
Cameroon,50.6,51.3,46.5,45.6,67.2,54.26
"North Macedonia, Republic Of",45.8,36,60.4,53.9,49.5,48.93
Russian Federation,52.7,46.3,53.5,29.9,43.8,44.91
Armenia,49.8,35.5,61.9,60.3,45.9,49.54
Japan,17.9,12.7,35,34,23.6,24.97
Sri Lanka,45,37.2,72.9,58.4,49.4,52.2
Sao Tome And Principe,43.7,54.4,75.6,64.4,72.6,64.22
Tonga,39.6,39.7,47.5,45.5,67.1,50.87
Malawi,46.8,40.9,66.9,64.7,66,58.46
Madagascar,47.7,55.4,63.3,67.1,66.1,61.2
France,29,18.8,35.6,27.1,27.8,27.74
Belgium,40.6,19.9,36.2,29.4,25.7,29.35
Mexico,37.1,43,37.9,37.2,47.4,41.88
Indonesia,34.2,35.9,31.5,32.7,41.4,36.3
Switzerland,15,12.5,25.8,24.4,20.1,19.6
Sudan,75.4,65.4,83.1,68.1,71.8,72.34
Fiji,44,48.1,52.3,60.6,60.8,54.69
Morocco,39.2,30,62.3,52.3,45.7,46.04
Mozambique,50.3,50.1,59.6,55,69.2,58.77
"Moldova, Republic Of",46.5,42.2,56.9,49.9,53.2,50.59
Singapore,4.4,18.7,26.7,27,14.2,17.83
Mongolia,34.8,31.3,57.1,61.8,50.5,47.63
Nepal,50.6,49.8,57.7,48.9,62.5,55.79
Austria,20.7,10.3,31,26.3,24.4,22.38
Sweden,20,6.6,28.3,21.1,23.5,20.92
Costa Rica,38.2,28.2,47.7,44,42.3,40.45
Ireland,20.9,12.7,15.4,20.4,24.8,19.8
Iceland,16.9,9.3,38.3,31.1,29.1,25.81
West Bank And Gaza,71.7,60.8,59.4,64.7,63,63.52
Cote D'Ivoire,49.9,49,44.2,46.2,61.1,51.77
Czech Republic,25.8,11.4,37.1,29.3,30.4,27.1
Malta,18.3,17.4,35.8,29.5,33.8,28.45
Dominican Republic,28.7,32.9,47.5,51.4,50.3,43.71
Kenya,48.1,43.9,51.9,47.5,55.4,50.7
Vietnam,18.3,37,34.2,36.5,42.7,34.96
Jamaica,27.3,36.1,52.1,50.6,52.2,45.01
Eritrea,40.8,58.8,67.3,63.5,77.8,64.1
Lithuania,32.9,19.6,41.9,29.6,33.2,31.5
Bermuda,21.5,27.4,38.1,42,52,38.83
Bahrain,26.9,38.7,49.2,46.8,31.4,37.77
Brunei Darussalam,9.2,31.7,38.5,49.2,35.1,33.49
Ghana,39.7,27.6,62.5,50.6,53.4,47.53
Suriname,49.2,46.5,65,60.1,56.5,55.66
Algeria,42.1,48.6,45,54.5,59.6,51.83
China,22,31.4,25.4,25.4,38.3,30.26
United States,28.3,21.6,35.4,24.3,22.1,25.73
Equatorial Guinea,46,62.9,60,55,70.7,61.12
